ID	EN
3232343436343136	Has Angelika Kratzer video messaged me?
3132353830343836	Maricopa County weather forecast for this week
3136363730313437	When will my next alarm start
3232353833343937	text Matthew and Helen that are you free
3133303534343534	what  ingredients do is have left
3231333432363134	I am no longer available
3231323335353436	Cancel my reminder about my dentist appointment
39353731323132	I would like a news update.
3135323839353534	Read Health newreport please
3231363337303831	Set alarm
3231363333353632	make an alarm go off tomorrow morning
3231313434313630	What reminders do I have on Friday?
3231313530363439	Remind me to finish the report by September 8th at 7pm.
39343632333532	I need a recipe for easy banana bread
3135323936323036	Who does Trump consider to be allies
3232353832303532	show me video messages from Atlas
3139393835303537	Tell me some events happening tonight in Seattle
3231353233313836	Find music by Adele
39353030323335	I want to listen to AC/DC please
3231363735313239	What time did I call Mum yesterday?
3231353532303636	Lets start a regular alarm for Monday 7pm.
3232333636333330	call granddaughter on Whatsapp video chat
3231323431363636	remind me to call mom tonight at 5.
3231353938303732	Tell me how's the rainfall today ?
3231333130353138	End call with grandson
3231343937343436	Find me tennis matches in Seattle this month
39343936383133	can i get a maritime forecast
39343738383233	please create a party playlist for me
3231323430363139	Remind me to put out the trash Tuesday night.
39353437313737	Create a new timer alert
3232313731303530	i want you to start recording a video message for Amelia
39353639313336	Is there rain forecasted in Panama City, FL next week?
3231303232353137	Start a video chat with Scott and Tomas
3231343937333330	Are there any sports games in May
3231323237353032	Set up a reminder for buying cat food.
3231363338363830	Australia's forecast, thanks.
3231333133323134	Hang up on my parents
3231363337303431	I would like you to set an alarm
3231303135383834	Don't answer calls from Frank.
3139343332383434	Where did Michael Jackson die?
39353232343037	Please play 'Play that Song' by Train on Pandora
3231323330303231	what are my reminders for tomorrow
3138393934393338	Who is Amanda
39353534383334	time me for the next 60 seconds
39343531333432	What temperature is french fries cooked at
39353635333837	what are the news headlines
39343836393938	what is the weather like in Charlotte
3231323430383234	Cancel reminder for Dentist
3231333131303537	add sis to the call
3231323237313038	Fix the reminder I have to take the dogs to the vent from 4pm to 5pm.
3133303534343431	How long do I bake a pound cake
3139343332363737	who is Shakira's husband?
3139393737343433	Any events on Christmas day
3231323339303539	Remind to make a counseling appointment
3132353634343730	how long was my run
3138393933313532	who is Chris?
3231323333373832	Is my reminder for tomorrow in the morning?
3231353438393932	Please cancel all alarms set for Sunday.
3231363334353336	Add a new alarm that repeats every Sunday arvo at 3pm
39353730343331	pause this playlist
3138393838343230	How old is Lia?
39353038323435	when is it going to rain
3138393735303739	Show me anyone friends with GGB
3133323737383330	What is in chicken soup
3231373034353630	when is dawn monday
3232313536363334	WhatsApp call Matias Gould
39353731303431	How much money does NBC getting from big pharma?
3231313532313930	Set up a reminder to pick up Lilly from ballet in 3 hours.
3137343535373136	What's the nutritional value of parsley leaves
39353336373839	Will we get a frost this week?
39353136373434	when is the next news on Fox News tonight?
3232353833373337	I need you to message Zachary Fletcher
3134313539343635	How hot is it in Houston tomorrow morning in degrees f
3232313730393833	let's start recording a video message for Sean
3139393833373734	fairs happening in ann arbor next week
3231363734343733	call cousin mark
3138393931313631	Does Tina work at Kaiser Permanente?
39353330363234	set alarm for every 3 minutes
3231363038313933	create alarm for 6h35
3231333533353334	Time to talk to George Roy James please
3232343330393137	make a timer for 18 minutes and one for 20 minutes
3231313436393537	create a reminder on august 30 that ozarks new season starts august 31
39343531303431	gluten free cookie recipe
3231353233333532	I want to hear Daniel Caesar's latest album
